transaction_id,account_id,transaction_date,transaction_type,amount,description
1001,101,2024-02-28,Deposit,3716.96,Worker feel health administration buy education attention.
1002,101,2024-02-24,Withdrawal,893.79,Brother management lose.
1003,101,2024-03-25,Transfer,3897.23,Budget series quickly base thought red.
1004,101,2023-10-22,Deposit,4108.25,Reason forget maybe mouth voice view free.
1005,101,2024-02-28,Payment,237.9,Bill family science.
1006,101,2023-02-15,Deposit,1169.76,Figure control agent production price.
1007,101,2022-01-09,Payment,4915.23,Day city season certain such attack.
1008,101,2023-01-04,Deposit,-590.03,It read support smile lay full.
1009,102,2023-01-22,Transfer,3971.49,War recently outside carry.
1010,102,2023-05-09,Transfer,4531.59,Special summer same act.
1011,102,2018-05-24,Payment,-770.48,Majority network business another really.
1012,102,2020-12-28,Withdrawal,4449.9,Kid defense speak build.
1013,102,2018-03-30,Withdrawal,-68.68,Performance various walk capital born.
1014,102,2023-10-22,Payment,4811.3,Draw lose between necessary dark must soldier.
1015,102,2023-02-25,Payment,166.05,To impact senior area by.
1016,102,2024-08-03,Deposit,1365.63,Stock environmental education enjoy north although movement.
1017,102,2021-09-22,Transfer,1173.05,Skill attorney follow.
1018,102,2019-02-21,Payment,-636.07,Amount usually discuss war.
1019,103,2023-11-16,Withdrawal,2691.88,Late friend alone thank fast hand.
1020,103,2017-04-30,Withdrawal,1197.69,Whose Congress section capital follow customer activity.
1021,103,2023-07-26,Deposit,2945.58,All now anything within.
1022,103,2022-07-05,Payment,465.44,Approach firm campaign across.
1023,103,2022-05-24,Withdrawal,-154.39,Notice office better when friend charge citizen.
1024,104,2023-11-03,Payment,1247.21,Seat nature off final one outside decade.
1025,104,2016-12-25,Payment,798.68,Place skin couple their.
1026,104,2024-07-30,Transfer,2926.28,There city reveal serious rather take.
1027,104,2023-06-24,Payment,4133.05,Control might face summer.
1028,104,2018-05-05,Deposit,997.94,If difference plan become them energy add.
1029,104,2020-05-31,Withdrawal,2943.46,Gas wind go open.
1030,104,2018-02-17,Transfer,269.41,History similar name which treat cover direction mind.
1031,104,2019-12-01,Deposit,3947.26,Item perform political security baby himself social.
1032,104,2022-01-09,Transfer,2550.51,Only pressure under develop natural practice of.
1033,104,2018-02-18,Payment,-884.13,Account career make baby player really.
1034,104,2021-08-15,Transfer,2527.77,Usually compare ten candidate west southern walk.
1035,104,2022-01-23,Withdrawal,3718.54,Behind today final carry case for agree response.
1036,104,2021-03-28,Transfer,-1910.86,Go policy without senior.
1037,105,2022-12-25,Deposit,-846.15,Star beautiful vote find consumer.
1038,105,2022-02-27,Deposit,-1288.4,Public well much newspaper religious street tough already.
1039,105,2021-10-19,Withdrawal,2937.52,Particularly war and lay hard past.
1040,105,2024-01-20,Transfer,4026.65,Blue bit next civil likely tough.
1041,105,2022-01-09,Transfer,3709.27,Spend claim actually item of.
1042,105,2016-03-05,Transfer,-990.16,Body thousand visit side money.
1043,106,2021-10-06,Payment,-853.66,Develop idea alone forget.
1044,106,2022-11-13,Withdrawal,-1018.94,Tough image case short put player own.
1045,106,2024-06-12,Transfer,271.66,Today live gas newspaper glass.
1046,106,2023-11-29,Deposit,3389.23,Economic official traditional rich.
1047,106,2022-02-01,Payment,-1243.01,Follow hour long attack.
1048,106,2024-05-24,Payment,3817.33,Determine anything board edge speech.
1049,106,2020-10-07,Withdrawal,-1781.45,Second woman management a citizen state debate never.
1050,106,2020-10-14,Withdrawal,-946.12,President safe term.
1051,106,2022-01-03,Transfer,4952.24,Idea fast affect enter think pretty.
1052,106,2019-10-10,Withdrawal,3475.13,Per game standard network certainly staff significant.
1053,107,2023-09-06,Transfer,2534.45,Human drug fall worry the.
1054,107,2023-09-17,Transfer,-1288.67,That strategy commercial blue green.
1055,107,2023-07-23,Withdrawal,690.25,Behavior option might future within relationship.
1056,107,2022-07-29,Transfer,3225.57,Age last that weight know resource traditional.
1057,107,2020-11-16,Withdrawal,4114.14,Walk think team now try join artist.
1058,107,2021-06-25,Deposit,-1153.5,Sit whether bank also avoid.
1059,107,2022-12-08,Payment,-1944.61,Whatever travel wait actually certain.
1060,107,2019-11-08,Deposit,-432.07,Thing call enough budget.
1061,107,2023-05-25,Withdrawal,3960.94,Into school bit majority risk deal resource.
1062,107,2020-04-24,Transfer,4902.48,World nearly can show.
1063,108,2023-11-05,Withdrawal,3782.25,Nature strategy simply morning.
1064,108,2023-10-01,Deposit,3255.32,Series yes mean discuss pattern leave piece brother.
1065,108,2017-05-17,Deposit,4996.1,Firm floor say song task.
1066,108,2020-11-10,Withdrawal,2121.46,All him big be use.
1067,108,2023-08-18,Payment,3183.04,Case whether stuff population.
1068,108,2022-12-08,Withdrawal,119.81,Protect data century another travel avoid.
1069,108,2019-07-16,Payment,-1807.43,Concern want maintain trial north picture.
1070,108,2023-05-16,Payment,1568.99,Network bad check machine would land.
1071,108,2022-10-09,Deposit,-1343.56,Present present reflect help particularly conference.
1072,109,2022-10-15,Withdrawal,3090.14,Nearly what hand arm form.
1073,109,2024-05-02,Transfer,1213.13,Step her level.
1074,109,2022-10-18,Payment,-1082.12,Food dream care study car.
1075,109,2024-02-01,Deposit,4529.86,With guy size PM.
1076,109,2023-04-18,Payment,-1924.56,Figure able even class suggest else.
1077,109,2022-10-28,Transfer,3505.6,Dream type necessary cut camera eat even really.
1078,109,2022-07-31,Payment,590.57,Far dream because top wear necessary.
1079,109,2024-04-03,Withdrawal,1611.39,Another rate visit claim.
1080,109,2024-03-14,Payment,-912.88,Treatment ball positive foot.
1081,109,2024-01-07,Withdrawal,2644.97,Apply enough someone nice officer through.
1082,109,2023-05-03,Payment,2792.79,You thank movement their possible strong opportunity.
1083,109,2024-03-05,Payment,1916.26,Skill Mrs stuff stop week either.
1084,110,2024-03-24,Transfer,-1198.02,Suddenly mission life join interesting game.
1085,110,2019-07-18,Deposit,303.04,Simply toward seat spring scientist.
1086,110,2019-06-20,Deposit,-1242.0,When any few month leader any.
1087,110,2021-08-15,Payment,2417.59,Capital feel window east prove.
1088,110,2023-07-06,Payment,1836.39,Right responsibility approach red cell chair doctor.
1089,111,2020-02-06,Withdrawal,2929.12,Summer system environmental forget war western realize.
1090,111,2024-02-09,Withdrawal,719.32,Since course than watch growth.
1091,111,2018-12-02,Deposit,1040.3,Debate particular group child.
1092,111,2019-02-19,Payment,-1541.95,Perform be bit almost blue size process.
1093,111,2020-05-29,Transfer,3412.73,Compare offer value building effort.
1094,112,2024-02-10,Transfer,3367.3,Decade life white early on event.
1095,112,2024-06-12,Deposit,4458.0,Apply southern sort charge rest exactly investment.
1096,112,2024-07-28,Deposit,4305.61,Test base assume almost campaign someone finally south.
1097,112,2023-01-06,Transfer,3614.64,Fill community nothing old pass speak force sea.
1098,112,2024-08-13,Withdrawal,3094.74,Away practice something until cut reason return.
1099,112,2023-10-10,Withdrawal,3574.0,Window pattern prepare.
1100,112,2021-10-21,Payment,2188.85,During lead season car know customer quite.
1101,112,2022-06-28,Payment,4352.35,Reduce land score only author whatever.
1102,112,2022-03-31,Payment,1266.45,Before stock whole job management kid.
1103,112,2021-08-12,Payment,-999.85,Whole office others compare Republican.
1104,112,2023-08-22,Transfer,-98.26,Next yet throw language material.
1105,113,2022-06-05,Withdrawal,-1271.93,Effect individual among couple argue break foot.
